;Data;Hora UTC;RADIACAO GLOBAL (Kj/m²)
450;19/01/24;1800 UTC;2189.3
451;19/01/24;1900 UTC;1619.7
452;19/01/24;2000 UTC;359.7
453;19/01/24;2100 UTC;86.6
465;20/01/24;0900 UTC;121.5
466;20/01/24;1000 UTC;827.5
467;20/01/24;1100 UTC;1641.1
468;20/01/24;1200 UTC;2107.4
469;20/01/24;1300 UTC;2270.7
470;20/01/24;1400 UTC;2673.2
471;20/01/24;1500 UTC;3342.1
472;20/01/24;1600 UTC;3105.6
473;20/01/24;1700 UTC;3157.2
474;20/01/24;1800 UTC;2482.0
475;20/01/24;1900 UTC;1646.6
476;20/01/24;2000 UTC;301.9
477;20/01/24;2100 UTC;66.1
489;21/01/24;0900 UTC;70.4
490;21/01/24;1000 UTC;534.5
491;21/01/24;1100 UTC;1512.6
492;21/01/24;1200 UTC;2457.7
493;21/01/24;1300 UTC;2655.3
494;21/01/24;1400 UTC;2409.9
495;21/01/24;1500 UTC;3251.1
496;21/01/24;1600 UTC;3586.1
497;21/01/24;1700 UTC;3137.5
498;21/01/24;1800 UTC;2563.2
499;21/01/24;1900 UTC;1840.9
500;21/01/24;2000 UTC;232.8
501;21/01/24;2100 UTC;73.2
513;22/01/24;0900 UTC;116.5
514;22/01/24;1000 UTC;828.7
515;22/01/24;1100 UTC;1663.4
516;22/01/24;1200 UTC;2193.4
517;22/01/24;1300 UTC;3066.9
518;22/01/24;1400 UTC;3667.0
519;22/01/24;1500 UTC;3821.9
520;22/01/24;1600 UTC;3188.6
521;22/01/24;1700 UTC;2944.3
522;22/01/24;1800 UTC;2140.7
523;22/01/24;1900 UTC;1430.7
524;22/01/24;2000 UTC;452.5
525;22/01/24;2100 UTC;105.0
537;23/01/24;0900 UTC;108.0
538;23/01/24;1000 UTC;801.2
539;23/01/24;1100 UTC;1710.4
540;23/01/24;1200 UTC;2529.2
541;23/01/24;1300 UTC;3266.1
542;23/01/24;1400 UTC;3574.4
543;23/01/24;1500 UTC;3408.3
544;23/01/24;1600 UTC;3044.4
545;23/01/24;1700 UTC;3063.6
546;23/01/24;1800 UTC;2490.7
547;23/01/24;1900 UTC;1732.5
548;23/01/24;2000 UTC;447.5
549;23/01/24;2100 UTC;60.7
561;24/01/24;0900 UTC;100.0
562;24/01/24;1000 UTC;780.2
563;24/01/24;1100 UTC;1643.9
564;24/01/24;1200 UTC;2605.4
565;24/01/24;1300 UTC;3260.0
566;24/01/24;1400 UTC;2853.2
567;24/01/24;1500 UTC;2867.4
568;24/01/24;1600 UTC;3261.9
569;24/01/24;1700 UTC;3048.4
570;24/01/24;1800 UTC;2412.5
571;24/01/24;1900 UTC;1752.4
572;24/01/24;2000 UTC;549.7
573;24/01/24;2100 UTC;80.6
585;25/01/24;0900 UTC;39.0
586;25/01/24;1000 UTC;444.8
587;25/01/24;1100 UTC;1428.6
588;25/01/24;1200 UTC;2499.4
589;25/01/24;1300 UTC;2677.8
590;25/01/24;1400 UTC;2790.5
591;25/01/24;1500 UTC;3021.3
592;25/01/24;1600 UTC;3347.9
593;25/01/24;1700 UTC;3074.2
594;25/01/24;1800 UTC;2447.4
595;25/01/24;1900 UTC;1704.1
596;25/01/24;2000 UTC;458.1
597;25/01/24;2100 UTC;49.6
609;26/01/24;0900 UTC;82.4
610;26/01/24;1000 UTC;737.3
611;26/01/24;1100 UTC;1635.0
612;26/01/24;1200 UTC;2349.5
613;26/01/24;1300 UTC;2500.4
614;26/01/24;1400 UTC;3100.0
615;26/01/24;1500 UTC;2881.8
616;26/01/24;1600 UTC;3464.8
